Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,3.081786,3.092143,2.925000,2.992857,2.530319,1238319600
2007-01-04,3.001786,3.069643,2.993571,3.059286,2.586482,847260400
2007-01-05,3.063214,3.078571,3.014286,3.037500,2.568062,834741600
2007-01-08,3.070000,3.090357,3.045714,3.052500,2.580745,797106800
2007-01-09,3.087500,3.320714,3.041071,3.306071,2.795127,3349298400
2007-01-10,3.383929,3.492857,3.337500,3.464286,2.928891,2952880000
2007-01-11,3.426429,3.456429,3.396429,3.421429,2.892657,1440252800
2007-01-12,3.378214,3.395000,3.329643,3.379286,2.857026,1312690400
2007-01-16,3.417143,3.473214,3.408929,3.467857,2.931909,1244076400
2007-01-17,3.484286,3.485714,3.386429,3.391071,2.866991,1646260000
2007-01-18,3.289286,3.289643,3.180357,3.181071,2.689445,2364605600
2007-01-19,3.165357,3.201786,3.147143,3.160714,2.672234,1364473600
2007-01-22,3.183571,3.184286,3.058929,3.099643,2.620602,1454026000
2007-01-23,3.061786,3.125357,3.053929,3.060714,2.587689,1207424400
2007-01-24,3.095714,3.112500,3.074286,3.096429,2.617884,927813600
2007-01-25,3.111071,3.160714,3.072500,3.080357,2.604296,905973600
2007-01-26,3.111071,3.120357,3.035357,3.049286,2.578027,986874000
2007-01-29,3.082143,3.094643,3.054643,3.069286,2.594936,901664400
2007-01-30,3.086786,3.088929,3.044643,3.055357,2.583161,577970400
2007-01-31,3.030714,3.071429,3.012500,3.061786,2.588596,856069200
2007-02-01,3.079643,3.081071,3.026429,3.026429,2.558703,664342000
2007-02-02,3.004286,3.044643,2.989286,3.026786,2.559005,621530000
2007-02-05,3.010714,3.043929,2.997857,2.997857,2.534546,578852400
2007-02-06,3.016071,3.016786,2.959286,3.005357,2.540888,864393600
2007-02-07,3.017143,3.085000,2.983929,3.076786,2.601277,1066825200
2007-02-08,3.051071,3.089643,3.050357,3.077857,2.602182,679030800
2007-02-09,3.067143,3.078571,2.971786,2.973929,2.514316,860540800
2007-02-12,3.015357,3.042143,2.986786,3.031429,2.562931,724071600
2007-02-13,3.041429,3.046071,3.010714,3.025000,2.557494,580986000
2007-02-14,3.022500,3.058571,3.020357,3.046429,2.575611,507981600
2007-02-15,3.051429,3.057857,3.027857,3.043214,2.572894,363661200
2007-02-16,3.044643,3.050357,3.023571,3.029643,2.561420,399868000
2007-02-20,3.023214,3.077143,3.005714,3.067857,2.593728,617702400
2007-02-21,3.070714,3.196071,3.070000,3.185714,2.693371,1155313600
2007-02-22,3.242857,3.243214,3.161786,3.196786,2.702731,838224800
2007-02-23,3.184286,3.226429,3.173214,3.181071,2.689445,517893600
2007-02-26,3.208571,3.214286,3.128929,3.161071,2.672536,615848800
2007-02-27,3.082143,3.110000,2.978929,2.997500,2.534245,1145813200
2007-02-28,2.964286,3.057143,2.964286,3.021786,2.554777,919475200
2007-03-01,3.001071,3.153929,2.991071,3.109286,2.628754,1415528800
2007-03-02,3.098929,3.126429,3.043214,3.050357,2.578933,860000400
2007-03-05,3.067500,3.166071,3.062857,3.082857,2.606409,838899600
2007-03-06,3.135714,3.153929,3.121429,3.149643,2.662874,723186800
2007-03-07,3.144643,3.177500,3.123214,3.132857,2.648683,626284400
2007-03-08,3.163929,3.168571,3.123571,3.142857,2.657137,511011200
2007-03-09,3.171429,3.173214,3.121429,3.141786,2.656232,451836000
2007-03-12,3.145357,3.213929,3.142500,3.209643,2.713601,729408400
2007-03-13,3.193214,3.235714,3.157143,3.157143,2.669215,867890800
2007-03-14,3.164286,3.214286,3.140000,3.214286,2.717527,796586000
2007-03-15,3.212857,3.227143,3.189643,3.198929,2.704544,559498800
2007-03-16,3.197857,3.213929,3.190000,3.199643,2.705147,571704000
2007-03-19,3.222857,3.269643,3.199643,3.254643,2.751647,712961200
2007-03-20,3.262500,3.280000,3.252143,3.267143,2.762215,488916400
2007-03-21,3.285357,3.357143,3.273214,3.352500,2.834381,686896000
2007-03-22,3.347500,3.370000,3.321429,3.355714,2.837098,561492400
2007-03-23,3.333929,3.359643,3.332143,3.340000,2.823813,450884000
2007-03-26,3.356786,3.425000,3.332143,3.423214,2.894166,864987200
2007-03-27,3.418214,3.458214,3.392857,3.409286,2.882391,932052800
2007-03-28,3.388571,3.407143,3.326786,3.330000,2.815359,942337200
2007-03-29,3.363929,3.363929,3.293929,3.348214,2.830757,725723600
2007-03-30,3.367143,3.381429,3.312500,3.318214,2.805394,600558000
2007-04-02,3.362143,3.366071,3.322143,3.344643,2.827738,501992400
2007-04-03,3.362143,3.401071,3.348571,3.375000,2.853403,583934400
2007-04-04,3.390714,3.397857,3.361786,3.366786,2.846459,476784000
2007-04-05,3.361429,3.381429,3.340000,3.381429,2.858839,355516000
2007-04-09,3.400357,3.403571,3.322857,3.344643,2.827738,413341600
2007-04-10,3.345357,3.366429,3.336071,3.366071,2.845854,352466800
2007-04-11,3.353571,3.355357,3.297500,3.306786,2.795732,549018400
2007-04-12,3.287143,3.296786,3.240000,3.292500,2.783653,656675600
2007-04-13,3.246429,3.264286,3.216429,3.222857,2.724773,719941600
2007-04-16,3.234643,3.267857,3.223214,3.265357,2.760705,609033600
2007-04-17,3.285714,3.296429,3.203571,3.226786,2.728095,751920400
2007-04-18,3.220000,3.244643,3.200000,3.228571,2.729604,464044000
2007-04-19,3.221071,3.258929,3.208214,3.223929,2.725680,425913600
2007-04-20,3.246071,3.256429,3.233929,3.248929,2.746817,522779600
2007-04-23,3.271071,3.350000,3.265000,3.339643,2.823510,780290000
2007-04-24,3.355714,3.442500,3.260714,3.330000,2.815359,1055252800
2007-04-25,3.365357,3.407143,3.350000,3.405357,2.879068,1187144000
2007-04-26,3.627857,3.660714,3.510714,3.530000,2.984448,1737778000
2007-04-27,3.506429,3.569643,3.488929,3.568571,3.017057,699403600
2007-04-30,3.574643,3.607143,3.559643,3.564286,3.013434,616509600
2007-05-01,3.556786,3.583929,3.519643,3.552500,3.003471,532523600
2007-05-02,3.558929,3.590714,3.552500,3.585357,3.031250,505145200
2007-05-03,3.597500,3.623214,3.571786,3.585714,3.031552,576077600
2007-05-04,3.600000,3.628571,3.589286,3.600357,3.043931,381987200
2007-05-07,3.610000,3.726786,3.607500,3.711429,3.137838,861557200
2007-05-08,3.695357,3.755357,3.693571,3.752143,3.172260,783997200
2007-05-09,3.746786,3.820000,3.746071,3.817143,3.227214,717757600
2007-05-10,3.808214,3.887143,3.782857,3.833571,3.241104,1197257600
2007-05-11,3.847857,3.897500,3.813571,3.883571,3.283375,653696400
